NIR_No,Rows,year,test,loc,cross,plant_no,color,bar_code
NIR-07008,60,2021,HIF 6,PLY,9,RM19-2713,2,2021_PLY_HIF 6_9_RM19-2713_2_NIR-07008
NIR-07007,13,2021,HIF 6,PLY,9,RM19-2713,1,2021_PLY_HIF 6_9_RM19-2713_1_NIR-07007
NIR-07006,48,2021,HIF 6,PLY,8,RM19-2697,2,2021_PLY_HIF 6_8_RM19-2697_2_NIR-07006
NIR-07005,9,2021,HIF 6,PLY,8,RM19-2697,1,2021_PLY_HIF 6_8_RM19-2697_1_NIR-07005
NIR-07004,56,2021,HIF 6,PLY,7,RM19-2696,2,2021_PLY_HIF 6_7_RM19-2696_2_NIR-07004
NIR-07003,29,2021,HIF 6,PLY,7,RM19-2696,1,2021_PLY_HIF 6_7_RM19-2696_1_NIR-07003
NIR-07002,57,2021,HIF 6,PLY,6,RM19-2691,2,2021_PLY_HIF 6_6_RM19-2691_2_NIR-07002
NIR-07001,22,2021,HIF 6,PLY,6,RM19-2691,1,2021_PLY_HIF 6_6_RM19-2691_1_NIR-07001
NIR-07000,51,2021,HIF 6,PLY,5,RM19-2690,2,2021_PLY_HIF 6_5_RM19-2690_2_NIR-07000
NIR-06999,26,2021,HIF 6,PLY,5,RM19-2690,1,2021_PLY_HIF 6_5_RM19-2690_1_NIR-06999
NIR-06998,33,2021,HIF 6,PLY,4,RM19-2717-2,2,2021_PLY_HIF 6_4_RM19-2717-2_2_NIR-06998
NIR-06997,11,2021,HIF 6,PLY,4,RM19-2717-2,1,2021_PLY_HIF 6_4_RM19-2717-2_1_NIR-06997
NIR-06996,42,2021,HIF 6,PLY,3,RM19-2686,2,2021_PLY_HIF 6_3_RM19-2686_2_NIR-06996
NIR-06995,30,2021,HIF 6,PLY,3,RM19-2686,1,2021_PLY_HIF 6_3_RM19-2686_1_NIR-06995
NIR-06994,43,2021,HIF 6,PLY,2,RM19-2678,2,2021_PLY_HIF 6_2_RM19-2678_2_NIR-06994
NIR-06993,21,2021,HIF 6,PLY,2,RM19-2678,1,2021_PLY_HIF 6_2_RM19-2678_1_NIR-06993
NIR-06992,50,2021,HIF 6,PLY,1,RM19-2657,2,2021_PLY_HIF 6_1_RM19-2657_2_NIR-06992
NIR-06991,15,2021,HIF 6,PLY,1,RM19-2657,1,2021_PLY_HIF 6_1_RM19-2657_1_NIR-06991
NIR-07090,24,2021,Jay Test 1,CAS,20,N09-09,2,2021_CAS_Jay Test 1_20_N09-09_2_NIR-07090
NIR-07089,9,2021,Jay Test 1,CAS,20,N09-09,1,2021_CAS_Jay Test 1_20_N09-09_1_NIR-07089
NIR-07088,38,2021,Jay Test 1,CAS,19,LMN09-119,2,2021_CAS_Jay Test 1_19_LMN09-119_2_NIR-07088
NIR-07087,10,2021,Jay Test 1,CAS,19,LMN09-119,1,2021_CAS_Jay Test 1_19_LMN09-119_1_NIR-07087
NIR-07086,40,2021,Jay Test 1,CAS,18,NC-Raleigh,2,2021_CAS_Jay Test 1_18_NC-Raleigh_2_NIR-07086
NIR-07085,16,2021,Jay Test 1,CAS,18,NC-Raleigh,1,2021_CAS_Jay Test 1_18_NC-Raleigh_1_NIR-07085
NIR-07084,25,2021,Jay Test 1,CAS,17,NC-Dilday,2,2021_CAS_Jay Test 1_17_NC-Dilday_2_NIR-07084
NIR-07083,15,2021,Jay Test 1,CAS,17,NC-Dilday,1,2021_CAS_Jay Test 1_17_NC-Dilday_1_NIR-07083
NIR-07082,32,2021,Jay Test 1,CAS,16,NC-Dunphy,2,2021_CAS_Jay Test 1_16_NC-Dunphy_2_NIR-07082
NIR-07081,13,2021,Jay Test 1,CAS,16,NC-Dunphy,1,2021_CAS_Jay Test 1_16_NC-Dunphy_1_NIR-07081
NIR-07080,21,2021,Jay Test 1,CAS,15,N18-1632-2,2,2021_CAS_Jay Test 1_15_N18-1632-2_2_NIR-07080
NIR-07079,14,2021,Jay Test 1,CAS,15,N18-1632-2,1,2021_CAS_Jay Test 1_15_N18-1632-2_1_NIR-07079
NIR-07078,34,2021,Jay Test 1,CAS,14,N18-1731,2,2021_CAS_Jay Test 1_14_N18-1731_2_NIR-07078
NIR-07077,17,2021,Jay Test 1,CAS,14,N18-1731,1,2021_CAS_Jay Test 1_14_N18-1731_1_NIR-07077
NIR-07076,39,2021,Jay Test 1,CAS,13,N18-1682,2,2021_CAS_Jay Test 1_13_N18-1682_2_NIR-07076
NIR-07075,5,2021,Jay Test 1,CAS,13,N18-1682,1,2021_CAS_Jay Test 1_13_N18-1682_1_NIR-07075
NIR-07074,37,2021,Jay Test 1,CAS,12,N18-1763,2,2021_CAS_Jay Test 1_12_N18-1763_2_NIR-07074
NIR-07073,3,2021,Jay Test 1,CAS,12,N18-1763,1,2021_CAS_Jay Test 1_12_N18-1763_1_NIR-07073
NIR-07072,35,2021,Jay Test 1,CAS,11,N18-1620,2,2021_CAS_Jay Test 1_11_N18-1620_2_NIR-07072
NIR-07071,19,2021,Jay Test 1,CAS,11,N18-1620,1,2021_CAS_Jay Test 1_11_N18-1620_1_NIR-07071
NIR-07070,22,2021,Jay Test 1,CAS,10,N18-1855,2,2021_CAS_Jay Test 1_10_N18-1855_2_NIR-07070
NIR-07069,2,2021,Jay Test 1,CAS,10,N18-1855,1,2021_CAS_Jay Test 1_10_N18-1855_1_NIR-07069
NIR-07068,27,2021,Jay Test 1,CAS,9,N18-1751,2,2021_CAS_Jay Test 1_9_N18-1751_2_NIR-07068
NIR-07067,7,2021,Jay Test 1,CAS,9,N18-1751,1,2021_CAS_Jay Test 1_9_N18-1751_1_NIR-07067
NIR-07066,26,2021,Jay Test 1,CAS,8,N18-1572,2,2021_CAS_Jay Test 1_8_N18-1572_2_NIR-07066
NIR-07065,1,2021,Jay Test 1,CAS,8,N18-1572,1,2021_CAS_Jay Test 1_8_N18-1572_1_NIR-07065
NIR-07064,28,2021,Jay Test 1,CAS,7,N18-1956,2,2021_CAS_Jay Test 1_7_N18-1956_2_NIR-07064
NIR-07063,20,2021,Jay Test 1,CAS,7,N18-1956,1,2021_CAS_Jay Test 1_7_N18-1956_1_NIR-07063
NIR-07062,23,2021,Jay Test 1,CAS,6,N18-1632-1,2,2021_CAS_Jay Test 1_6_N18-1632-1_2_NIR-07062
NIR-07061,4,2021,Jay Test 1,CAS,6,N18-1632-1,1,2021_CAS_Jay Test 1_6_N18-1632-1_1_NIR-07061
NIR-07060,29,2021,Jay Test 1,CAS,5,N18-1604,2,2021_CAS_Jay Test 1_5_N18-1604_2_NIR-07060
NIR-07059,6,2021,Jay Test 1,CAS,5,N18-1604,1,2021_CAS_Jay Test 1_5_N18-1604_1_NIR-07059
NIR-07058,36,2021,Jay Test 1,CAS,4,N18-1595,2,2021_CAS_Jay Test 1_4_N18-1595_2_NIR-07058
NIR-07057,11,2021,Jay Test 1,CAS,4,N18-1595,1,2021_CAS_Jay Test 1_4_N18-1595_1_NIR-07057
NIR-07056,33,2021,Jay Test 1,CAS,3,N18-1641,2,2021_CAS_Jay Test 1_3_N18-1641_2_NIR-07056
